Question;Answer_1;Answer_2;Answer_3;Right_answer
PYTHON является:?;Машинно - ориентированным языком (низкого уровня);Языком высокого уровня;Объектно - ориентированным языком;Языком высокого уровня
Область применения PYTHON:;Робототехника и искусственный интеллект;Обучение;Интернет;Робототехника и искусственный интеллект
Год разработки PYTHON:;1990;1991;1993;1991
Чувствителен ли PYTHON к регистру (большая или маленькая буквы):;Да;Нет;не знаю;Да
Каких типов данных не существует?;float;append;int;append
Переменная int:;целая переменная;логическая переменная;символьная строка;целая переменная
Переменная str: ;символьная строка;логическая переменная;целая переменная;символьная строка
Переменная float: ;целая переменная;вещественная переменная;логическая переменная;вещественная переменная
Каков будет результат выполнения int("88"): ; "88" ;88;.88.00;88
Каков будет результат выполнения str(88): ; "88" ;88;88.00;"88"
Имена переменных могут включать: ;Русские буквы;Латинские буквы;Пробелы;Латинские буквы
Что является функцией? ; return; for; while; return
Как создать список? ;[];();{};[]
Что такое while и for?;функции;операторы;циклы;циклы
Как создать словарь? ;{};();[];{}
Что будет в результате этого кода?; "2" + 2;22;Ошибка;Ошибка
Как правильно пишется название языка программирования питон?; phyton; python; pyhton; python
Как пройтись по каждому элементу в списке l?; while i < 5; for x in range(5); for el in l; for el in l
Каким оператором можно остановить цикл?;break;stop;exit;break
В каком случае оператор or будет возвращать True?;если оба условия являются True; если оба условия являются False; если одно из условий является True; если одно из условий является True
